Cross-Account Reporting Survey — Question Bank,,,,,,
Generated: Feb 20 2026,,,,,,
,,,,,,
Section,Q#,Question,Type,Required,Answer Option,Option Description
Dashboard - Micro-prompt,M2,This data is from Feb 17. Is that fresh enough for the decisions you need to make?,Quick-tap (pick one),Above footer / timestamp,,
,,,,,Need it faster,,
,,,,,This is fine,,
,,,,,,
Floating Widget,W1,In a typical month how much time does your team spend assembling cross-account reports?,Radio (pick one),Bottom-right widget,,
,,,,,Less than 1 hour,,
,,,,,1–4 hours,,
,,,,,5–10 hours (1-2 hrs/week),,
,,,,,11–20 hours (half a day/week),,
,,,,,20+ hours (a part-time job),,
,,,,,,
Floating Widget,W2,"If a competitor offered consolidated cross-account reporting today, how would that affect your platform decision?",Radio (pick one),Bottom-right widget,,
,,,,,I'd actively evaluate switching,,
,,,,,I'd factor it into my next renewal,,
,,,,,"Nice to have, but not enough to switch",,
,,,,,Wouldn't affect my decision,,
,,,,,,
Floating Widget,W3,"If you had a single dashboard for all accounts with drill-down, what would you do with it first?",Open-ended (text box),Bottom-right widget,,
