#,Category,Feature / Request,Description,Type,Priority (1-5),Notes
78,Saved Views,Saved views dropdown,"Name, created date, descriptive filter pills",Functionality,,
79,Saved Views,Click to apply / delete saved views,"One-click apply or remove",Functionality,,
80,Saved Views,Persisted in localStorage,"Views survive browser refresh",Functionality,,
81,Saved Views,Toast confirmation,"On save/load/delete",Functionality,,
,,,,,,
,14. UX & INTERACTION DETAILS,,,,,
82,UX,Keyboard shortcuts,"/ (search), R (reset), C (compare), V (toggle view), 1–5 (date), ? (help), Esc",Functionality,,
83,UX,Back-to-top button,"Appears after scrolling past summary",Functionality,,
84,UX,Toast notifications,"For export, save/load/delete views, alert dismiss with undo",Functionality,,
85,UX,Skeleton loading,"Placeholder cards shown during date range transitions",Functionality,,
86,UX,Summary panel pulse animation,"When filters change",Functionality,,
87,UX,"'No change' detection",Toast when filter change doesn't alter results,Functionality,,
88,UX,Mobile-responsive design,"Bottom-sheet filters, touch targets, horizontal KPI scroll",Functionality,,
89,UX,Footer,"'Data as of' timestamp, refresh link, help center link",Functionality,,
,,,,,,
,,,,,,
,DATA REQUIREMENTS SUMMARY,,,,,
,,"The following data fields must be available from the platform to power this report:",,,,
,,,,,,
,Data Field,Scope,Format / Detail,Required for,Priority (1-5),Notes
D1,Account Hierarchy,Per org,"Parent account → child locations (nested structure)",Report Scope,,
D2,Location Name,Per location,Text,All views,,
D3,Brand Name,Per location,Text,Filtering + Leaderboard + Grouping,,
D4,Total Sends,Per location + date range,Integer count,KPIs + Table + Cards,,
D5,Open Rate,Per location + date range,Percentage (%),KPIs + Table + Cards + Thresholds + Alerts,,
D6,Click Rate,Per location + date range,Percentage (%),KPIs + Table + Cards + Thresholds + Alerts,,
D7,Deliverability Rate,Per location + date range,Percentage (%),KPIs + Table + Cards + Thresholds + Alerts,,
D8,Bounce Rate,Per location + date range,Percentage (%),Table + Cards + Thresholds + Alerts,,
D9,Unsubscribe Rate,Per location + date range,Percentage (%),Table + Cards + Thresholds + Alerts,,
D10,Total Contacts,Per location,Integer count,Table + Cards,,
D11,New Contacts (in period),Per location + date range,Integer count,Cards + Alerts (list growth),,
D12,Previous-Period Metrics,"Per location (open, click, deliverability, sends)",Deltas or absolute values,KPIs (period-over-period) + Alerts (decline detection),,
D13,Date-Range Queryable Metrics,All metrics above,Must support 7d / 30d / 90d / YTD / 1yr / custom,Date Range Controls,,
D14,Time-Series Trend Data,Per location + per metric,Data points over time,Sparkline trend charts,,
D15,Campaign Name,Per campaign,Text,Campaign group-by view,,
D16,Campaign Type,Per campaign,"Text (Newsletter, Promotional, Automation)",Campaign group-by view,,
D17,Campaign-Level Metrics,"Per campaign + location (sends, open, click, deliverability, bounce, unsub)",Same as location-level,Campaign group-by view,,
